-> Name: C2, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (49.657,44.831), 
-> Name: C20, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.1348,50.546), 
-> Name: C200, -> Value: 200pF, -> Package: 0603, -> X,Y coordinates: (15.621,6.096), 
-> Name: C201, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (61.722,10.033), 
-> Name: C202, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (58.293,7.62), 
-> Name: C203, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (63.373,2.54), 
-> Name: C204, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (67.183,2.413), 
-> Name: C205, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (70.231,2.413), 
-> Name: C206, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (73.279,3.429), 
-> Name: C207, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (58.801,11.303), 
-> Name: C208, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (70.104,12.319), 
-> Name: C209, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (66.421,4.064), 
-> Name: C21, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.1348,56.1086), 
-> Name: C210, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (65.659,10.795), 
-> Name: C211, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (70.485,6.477), 
-> Name: C212, -> Value: 1000pF, -> Package: 0402, -> X,Y coordinates: (70.231,-9.017), 
-> Name: C213, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (26.67,73.914), 
-> Name: C214, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (27.94,73.914), 
-> Name: C215, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (29.21,73.914), 
-> Name: C216, -> Value: DNI, -> Package: 0603, -> X,Y coordinates: (7.874,3.683), 
-> Name: C217, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (30.48,73.914), 
-> Name: C218, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (34.29,73.914), 
-> Name: C219, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (33.02,73.914), 
-> Name: C22, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (33.5788,50.9524), 
-> Name: C220, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (36.83,73.914), 
-> Name: C221, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (35.56,73.914), 
-> Name: C23, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (37.719,53.34), 
-> Name: C24, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (31.369,61.214), 
-> Name: C25, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (38.735,56.896), 
-> Name: C26, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.1348,56.896), 
-> Name: C27, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (38.735,56.1086), 
-> Name: C28, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.9476,55.2958), 
-> Name: C29, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (4.064,60.833), 
-> Name: C3, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (50.292,42.545), 
-> Name: C30, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (3.556,56.515), 
-> Name: C31, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (10.033,52.324), 
-> Name: C32, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (7.239,53.086), 
-> Name: C33, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (6.477,58.801), 
-> Name: C34, -> Value: 150uF, -> Package: CAPPRD350W65D800H1500B, -> X,Y coordinates: (4.445,41.91), 
-> Name: C35, -> Value: 150uF, -> Package: CAPPRD350W65D800H1500B, -> X,Y coordinates: (18.415,41.91), 
-> Name: C36, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (18.161,36.195), 
-> Name: C37, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (18.161,32.385), 
-> Name: C38, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (16.891,39.116), 
-> Name: C39, -> Value: 1nF, -> Package: 0603, -> X,Y coordinates: (4.445,36.449), 
-> Name: C4, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (41.783,8.89), 
-> Name: C40, -> Value: 1nF, -> Package: 0603, -> X,Y coordinates: (2.667,38.1), 
-> Name: C41, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (2.159,34.798), 
-> Name: C42, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (19.685,39.624), 
-> Name: C43, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (21.209,39.624), 
-> Name: C44, -> Value: 0.033uF, -> Package: 0603, -> X,Y coordinates: (16.637,34.671), 
-> Name: C45, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (17.018,26.035), 
-> Name: C46, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (18.669,28.575), 
-> Name: C47, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (2.159,32.639), 
-> Name: C48, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (23.368,60.96), 
-> Name: C49, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (11.811,58.039), 
-> Name: C5, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (41.783,7.239), 
-> Name: C50, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (16.383,46.863), 
-> Name: C51, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (17.907,62.357), 
-> Name: C52, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (12.065,54.991), 
-> Name: C53, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (12.065,52.07), 
-> Name: C54, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (18.669,46.863), 
-> Name: C55, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (21.336,62.357), 
-> Name: C56, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (14.224,62.357), 
-> Name: C57, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (14.097,46.863), 
-> Name: C574, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (5.969,-0.381), 
-> Name: C575, -> Value: 0.01uF, -> Package: 0402, -> X,Y coordinates: (12.065,1.651), 
-> Name: C577, -> Value: DNI, -> Package: 0402, -> X,Y coordinates: (47.244,0.381), 
-> Name: C578, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (44.704,1.016), 
-> Name: C579, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (51.435,-0.889), 
-> Name: C58, -> Value: 0.1uF, -> Package: 0201, -> X,Y coordinates: (31.5722,54.5084), 
-> Name: C59, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (14.605,57.023), 
-> Name: C6, -> Value: 22uF, -> Package: 0603, -> X,Y coordinates: (52.578,9.017), 
-> Name: C60, -> Value: 2.2uF, -> Package: 0603, -> X,Y coordinates: (12.7,44.196), 
-> Name: C61, -> Value: 0.1uF, -> Package: 0201, -> X,Y coordinates: (17.653,54.356), 
-> Name: C62, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (12.065,60.198), 
-> Name: C63, -> Value: 10uF, -> Package: 0603, -> X,Y coordinates: (12.065,49.022), 
-> Name: C64, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (12.065,57.277), 
-> Name: C65, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (12.065,53.594), 
-> Name: C66, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (23.876,45.72), 
-> Name: C67, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (32.258,53.34), 
-> Name: C68, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (35.56,56.261), 
-> Name: C69, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (32.385,50.546), 
-> Name: C7, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (52.578,7.366), 
-> Name: C70, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (34.3916,50.165), 
